,TEST_SECTION_ID,SENTENCE_ID,PARTICIPANT_ID,USER_INPUT,INPUT_TIME,EDIT_DISTANCE,ERROR_RATE,WPM,INPUT_LENGTH,ERROR_LEN,POTENTIAL_WPM,POTENTIAL_LENGTH,DEVICE,TS_IKI,TS_KPD,TS_BSP,TS_ECPC,TS_UILEN,TS_KS,TS_KSPC,N_SWYP,N_PRED,N_AUTO,PR_SWYP,PR_PRED,PR_AUTO,TS_NUM_WORDS
559,3994,458,1061,He is expected to play in this week’s game.,25669,1.0,2.32558139534884,19.6345786746659,42.0,43,20.3899991908731,42.0,mobile,93.1162790697674,22.116279069,0.0,0.0,43.0,43.0,1.0,0,0,0,0,0,0,10.0
1970,8026,381,2462,"Mark, susan said to go ahead and expense the cell phones.",26634,1.0,1.75438596491228,25.2309078621311,56.0,57,32.5357554395716,40.0,mobile,129.835820895522,17.029850746,5.0,0.0892857142857143,57.0,67.0,1.175438596,0,0,0,0,0,0,11.0
1976,8033,947,2462,I am not concerned witg the brown money.,14822,2.0,5.0,31.5746862771556,39.0,40,33.0042313117066,39.0,mobile,128.275,16.05,0.0,0.0,40.0,40.0,1.0,0,0,0,0,0,0,8.0
1979,8039,1035,2462,We're on the way,8717,1.0,5.88235294117647,20.6493059538832,15.0,17,21.269053527118,15.0,mobile,58.0625,15.875,0.0,0.0,16.0,16.0,1.0,0,0,0,0,0,0,5.0
1981,8042,584,2462,Let me know if you need further information.,24457,0.0,0.0,21.0982540785869,43.0,44,37.037037037037,4.0,mobile,77.2972972972973,15.486486486,15.0,0.348837209302326,44.0,74.0,1.681818181,0,0,0,0,0,0,8.0
1994,8063,1092,2462,What do you think?,7932,0.0,0.0,25.7186081694402,17.0,18,26.6318537859008,17.0,mobile,122.888888888889,15.111111111,0.0,0.0,18.0,18.0,1.0,0,0,0,0,0,0,4.0
1997,8066,1039,2462,Thanks for the quick turnaround.,12150,0.0,0.0,30.6172839506173,31.0,32,36.7707719505009,26.0,mobile,84.8235294117647,14.5,1.0,0.032258064516129,32.0,34.0,1.0625,0,0,0,0,0,0,5.0
2007,8081,69,2462,Presuming 2e can afford headcount?,13755,1.0,2.94117647058824,28.7895310796074,33.0,34,37.0166354522419,28.0,mobile,99.9444444444444,14.111111111,1.0,0.0303030303030303,34.0,36.0,1.058823529,0,0,0,0,0,0,5.0
2010,8085,1318,2462,Now I know about them.,10848,0.0,0.0,23.2300884955752,21.0,22,22.0264317180617,5.0,mobile,103.72,18.56,1.0,0.0476190476190476,22.0,25.0,1.136363636,0,0,0,0,0,0,5.0
2017,8102,1126,2462,She has the game tomorrow.,8830,0.0,0.0,33.9750849377123,25.0,26,35.4442344045369,25.0,mobile,42.5,14.076923076,0.0,0.0,26.0,26.0,1.0,0,0,0,0,0,0,5.0
2020,8107,853,2462,Please send it to both of us.,10571,0.0,0.0,31.7850723677987,28.0,29,36.6382773581874,19.0,mobile,105.774193548387,14.838709677,1.0,0.0357142857142857,29.0,31.0,1.068965517,0,0,0,0,0,0,7.0
2024,8115,734,2462,I called my husband at work today just to tell him I loved him.,22486,0.0,0.0,33.0872542915592,62.0,63,35.197169328181,63.0,mobile,64.21875,15.734375,0.0,0.0,63.0,64.0,1.015873015,0,0,0,0,0,0,14.0
2773,10312,904,3106,Are you on a diet with me?,6212,3.0,10.7142857142857,48.2936252414681,25.0,28,52.5210084033614,25.0,mobile,73.5,19.23076923,0.0,0.0,26.0,26.0,1.0,0,0,0,0,0,0,7.0
2774,10314,662,3106,I’ll take them one at a time.,14922,1.0,3.44827586206897,22.5170888620828,28.0,29,20.7732256203116,3.0,mobile,79.1627906976744,22.65116279,7.0,0.25,29.0,43.0,1.48275862,0,0,0,0,0,0,8.0
2777,10318,1125,3106,Can you bring these to 49c1?,12908,1.0,3.57142857142857,25.1007127362876,27.0,28,24.2091672046482,25.0,mobile,81.7307692307692,19.846153846,0.0,0.0,28.0,26.0,0.928571428,0,0,0,0,0,0,6.0
2784,10329,508,3106,I didn t mean to get you so bent out of shape.,13650,0.0,0.0,39.5604395604396,45.0,46,42.4795468848332,45.0,mobile,85.8478260869565,20.391304347,0.0,0.0,46.0,46.0,1.0,0,0,0,0,0,0,12.0
2786,10332,995,3106,what is up with ENE?,5999,1.0,5.0,38.0063343890648,19.0,20,40.56217754847889,19.0,mobile,60.55,18.9,0.0,0.0,20.0,20.0,1.0,0,0,0,0,0,0,5.0
2788,10336,1,3106,need before board meeting.,8652,1.0,3.84615384615385,34.6740638002774,25.0,26,36.7376928728876,25.0,mobile,68.3076923076923,18.692307692,0.0,0.0,26.0,26.0,1.0,0,0,0,0,0,0,4.0
2790,10340,701,3106,I’ll talk to you on Monday,10388,2.0,7.407407407407409,28.8794763188294,25.0,27,25.1440544787847,4.0,mobile,84.125,21.84375,3.0,0.12,26.0,32.0,1.23076923,0,0,0,0,0,0,7.0
2791,10341,1036,3106,is this the confrence rate?,11207,2.0,7.14285714285714,27.8397430177568,26.0,28,37.1928270976312,28.0,mobile,124.354838709677,20.258064516,2.0,0.0769230769230769,27.0,31.0,1.148148148,0,0,0,0,0,0,5.0
2793,10346,814,3106,Did you differ from me?,7653,0.0,0.0,34.4962759702078,22.0,23,45.714285714285694,12.0,mobile,127.333333333333,21.518518518,2.0,0.0909090909090909,23.0,27.0,1.173913043,0,0,0,0,0,0,5.0
2794,10348,1521,3106,I haven’t adapted really.,10774,1.0,4.0,26.731019120104,24.0,25,28.1717695392742,24.0,mobile,111.76,22.04,0.0,0.0,25.0,25.0,1.0,0,0,0,0,0,0,5.0
2795,10350,901,3106,It’s not looking too good is it?,9838,1.0,3.125,37.8125635291726,31.0,32,40.7314135552392,31.0,mobile,150.3125,22.03125,0.0,0.0,32.0,32.0,1.0,0,0,0,0,0,0,8.0
2797,10354,1046,3106,what do you hear?,3559,1.0,5.88235294117647,53.9477381286878,16.0,17,58.7515299877601,16.0,mobile,70.4705882352941,17.117647058,0.0,0.0,17.0,17.0,1.0,0,0,0,0,0,0,4.0
2799,10356,903,3106,Tell her to get my expenses report done.,11912,1.0,2.5,39.2881128274009,39.0,40,66.006600660066,15.0,mobile,91.3409090909091,19.386363636,2.0,0.0512820512820513,40.0,44.0,1.1,0,0,0,0,0,0,8.0
2897,11200,166,3381,Did he get a signing bonus?,14632,0.0,0.0,21.3231273920175,26.0,27,31.6713032313289,37.0,mobile,301.131578947368,16.131578947,0.0,0.0,27.0,38.0,1.407407407,0,0,0,0,0,0,6.0
2898,11202,194,3381,If so Whitt is done.,17978,0.0,0.0,12.6821670931138,19.0,20,37.2714486638537,53.0,mobile,289.388888888889,16.925925925,0.0,0.0,20.0,54.0,2.7,0,0,0,0,0,0,5.0
2899,11204,315,3381,The Jets will try to control the ball and the clock againstbthe Rams.,62081,1.0,1.44927536231884,13.1441181681996,68.0,69,27.0864270864271,38.0,mobile,196.794701986755,17.251655629,2.0,0.0294117647058824,69.0,151.0,2.188405797,0,0,0,0,0,0,13.0
2900,11210,1231,3381,Rhe loans were allegedly made to playets.,26231,2.0,4.87804878048781,18.2989592466928,40.0,41,32.5982742090125,68.0,mobile,180.550724637681,17.376811594,0.0,0.0,41.0,69.0,1.682926829,0,0,0,0,0,0,7.0
2901,11213,721,3381,I have an electric knife.,12784,0.0,0.0,22.5281602002503,24.0,25,37.7108832285809,38.0,mobile,191.538461538462,17.743589743,0.0,0.0,25.0,39.0,1.56,0,0,0,0,0,0,5.0
2902,11215,657,3381,He said he would learn more about the injury as the week progressed,40468,1.0,1.47058823529412,19.5710190768014,66.0,68,27.2045753149393,88.0,mobile,164.76404494382,18.550561797,0.0,0.0,67.0,89.0,1.328358208,0,0,0,0,0,0,13.0
2903,11224,453,3381,Here it is again in case you didn't receivs it.,26808,1.0,2.12765957446809,20.5908683974933,46.0,47,27.1028037383178,58.0,mobile,270.627118644068,19.118644067,0.0,0.0,47.0,59.0,1.255319148,0,0,0,0,0,0,11.0
2904,11226,1165,3381,Referring to his meetng in Washington with IG President Bill Clinton,45606,4.0,5.71428571428571,17.6292593079858,67.0,70,26.7924270384799,98.0,mobile,282.727272727273,17.303030303,0.0,0.0,68.0,99.0,1.455882352,0,0,0,0,0,0,11.0
2906,11232,1354,3381,"Clinton on the other hand, had backes a plan to convince Europe.",45252,1.0,1.5625,16.7064439140811,63.0,64,27.162489894907,98.0,mobile,197.878787878788,19.767676767,0.0,0.0,64.0,99.0,1.546875,0,0,0,0,0,0,12.0
2908,11240,303,3381,Giants due to an ankle injury.,18440,0.0,0.0,18.8720173535792,29.0,30,24.4247187199638,36.0,mobile,94.4054054054054,20.351351351,0.0,0.0,30.0,37.0,1.233333333,0,0,0,0,0,0,6.0
2910,11242,337,3381,Thank you again for the evening.,20148,0.0,0.0,18.4633710541989,31.0,32,31.1996256044928,50.0,mobile,168.843137254902,17.980392156,0.0,0.0,32.0,51.0,1.59375,0,0,0,0,0,0,6.0
2913,11246,1109,3381,"We are delayed, got another 30 minutes on the runway.",34066,0.0,0.0,18.3173839018376,52.0,53,26.0033572409583,71.0,mobile,225.819444444444,18.069444444,0.0,0.0,53.0,72.0,1.358490566,0,0,0,0,0,0,10.0
2918,11253,340,3381,Martha Stewart will not be dining with us this Thanksgiving.,42008,0.0,0.0,16.8539325842697,59.0,60,24.3660855784469,82.0,mobile,226.33734939759,19.56626506,0.0,0.0,60.0,83.0,1.383333333,0,0,0,0,0,0,10.0
2933,11295,1345,3381,But they played down the prospect of a repeat oerformance.,40286,1.0,1.72413793103448,16.9786029886313,57.0,58,25.4191315130066,82.0,mobile,138.120481927711,18.975903614,0.0,0.0,58.0,83.0,1.431034482,0,0,0,0,0,0,10.0
2935,11308,1305,3381,Reports said Clinton feels the same way.,24172,0.0,0.0,19.3612444150257,39.0,40,24.3502288230723,47.0,mobile,128.166666666667,21.041666666,0.0,0.0,40.0,48.0,1.2,0,0,0,0,0,0,7.0
3212,11841,697,3502,Let me know if you have any probkens.,29673,2.0,5.40540540540541,14.5586897179254,36.0,37,26.5850828146429,63.0,mobile,134.125,19.3125,0.0,0.0,37.0,64.0,1.729729729,0,0,0,0,0,0,8.0
3213,11850,791,3502,What is going on?,9571,0.0,0.0,20.060599728346,16.0,17,27.5530286464028,21.0,mobile,98.9090909090909,19.318181818,0.0,0.0,17.0,22.0,1.294117647,0,0,0,0,0,0,4.0
3214,11856,1434,3502,I'll be up to nine or 10 by Saturday.,26240,0.0,0.0,16.4634146341463,36.0,37,26.3178881888508,55.0,mobile,106.0,20.75,0.0,0.0,37.0,56.0,1.513513513,0,0,0,0,0,0,10.0
3215,11861,681,3502,"Louis, posting five catchez for 25 yards and two scores.",42434,2.0,3.57142857142857,15.5535655370693,55.0,56,27.1633491622174,92.0,mobile,73.7956989247312,19.258064516,0.0,0.0,56.0,93.0,1.660714285,0,0,0,0,0,0,10.0
3216,11868,1392,3502,The law enforcement has responsibilityfor the safety of the public.,36861,1.0,1.47058823529412,21.4861235452104,66.0,68,27.9553396403307,82.0,mobile,96.2409638554217,20.024096385,0.0,0.0,67.0,83.0,1.23880597,0,0,0,0,0,0,10.0
3217,11875,1324,3502,The charge also cover his relations with advertising companies.,49948,1.0,1.5625,14.8954913109634,62.0,64,27.6081318497448,110.0,mobile,194.63963963964,19.243243243,0.0,0.0,63.0,111.0,1.761904761,0,0,0,0,0,0,9.0
3218,11879,333,3502,The big tight end has no real value as a Fantasy player.,40007,0.0,0.0,16.4971130052241,55.0,56,27.2343089685397,87.0,mobile,365.84090909090895,19.011363636,0.0,0.0,56.0,88.0,1.571428571,0,0,0,0,0,0,12.0
3219,11881,468,3502,There is no average.,11554,0.0,0.0,19.7334256534534,19.0,20,28.1385281385281,26.0,mobile,560.407407407407,17.259259259,0.0,0.0,20.0,27.0,1.35,0,0,0,0,0,0,4.0
3220,11882,954,3502,Is this the only time available?,16939,0.0,0.0,21.9611547316843,31.0,32,28.0580851587497,38.0,mobile,510.051282051282,17.615384615,0.0,0.0,32.0,39.0,1.21875,0,0,0,0,0,0,6.0
3221,11883,869,3502,Don't forget the wood.,9143,0.0,0.0,27.5620693426665,21.0,22,37.357315807679,27.0,mobile,449.035714285714,16.785714285,0.0,0.0,22.0,28.0,1.272727272,0,0,0,0,0,0,5.0
3222,11884,792,3502,Ben could tell him about Pompano.,22690,0.0,0.0,16.9237549581313,32.0,33,30.969169086133,56.0,mobile,460.80701754386,17.385964912,0.0,0.0,33.0,57.0,1.727272727,0,0,0,0,0,0,6.0
3223,11886,810,3502,Joel will handle this.,7240,0.0,0.0,34.8066298342541,21.0,22,46.3389276696866,26.0,mobile,354.777777777778,18.777777777,0.0,0.0,22.0,27.0,1.227272727,0,0,0,0,0,0,4.0
3224,11887,832,3502,I think in this casr specific is better.,19645,1.0,2.5,23.8228556884703,39.0,40,33.3475844377939,52.0,mobile,175.622641509434,17.603773584,0.0,0.0,40.0,53.0,1.325,0,0,0,0,0,0,8.0
3225,11889,515,3502,Ceestone won't have final measurement until next week.,37385,1.0,1.85185185185185,17.0121706566805,53.0,54,24.6728348753855,74.0,mobile,241.32,18.586666666,0.0,0.0,54.0,75.0,1.388888888,0,0,0,0,0,0,9.0
3226,11893,782,3502,"Once you do, you can never go back.",22309,0.0,0.0,18.2885830830607,34.0,35,30.8367985796384,55.0,mobile,182.517857142857,16.178571428,0.0,0.0,35.0,56.0,1.6,0,0,0,0,0,0,8.0
4127,14880,1054,4453,i can get them,3312,2.0,13.3333333333333,47.1014492753623,13.0,15,48.8874960827327,13.0,mobile,155.857142857143,8.642857142,0.0,0.0,14.0,14.0,1.0,0,0,0,0,0,0,4.0
4128,14884,1466,4453,derivatives are not new,7400,2.0,8.33333333333333,35.6756756756757,22.0,24,36.7534456355283,22.0,mobile,177.608695652174,9.434782608,0.0,0.0,23.0,23.0,1.0,0,0,0,0,0,0,4.0
4129,14890,572,4453,"At 17, he enlished in the US Navy",19488,2.0,5.88235294117647,19.7044334975369,32.0,34,24.3842965130456,25.0,mobile,205.542857142857,8.8,1.0,0.03125,33.0,35.0,1.06060606,0,0,0,0,0,0,8.0
4130,14893,1288,4453,There is substanttially no difference between us.,21104,1.0,2.04081632653061,27.2934040940106,48.0,49,29.6806108183676,23.0,mobile,162.056603773585,8.905660377,2.0,0.0416666666666667,49.0,53.0,1.081632653,0,0,0,0,0,0,7.0
4131,14897,837,4453,We can have wine and catch up.,10752,0.0,0.0,32.3660714285714,29.0,30,33.2664181244623,29.0,mobile,191.0,9.7,0.0,0.0,30.0,30.0,1.0,0,0,0,0,0,0,7.0
4132,14902,157,4453,Thanks for your help in quickly setting this up.,18516,0.0,0.0,30.4601425793908,47.0,48,25.5863539445629,1.0,mobile,147.923076923077,9.269230769,2.0,0.0425531914893617,48.0,52.0,1.083333333,0,0,0,0,0,0,9.0
4133,14906,613,4453,"You can't destroy us, and you can't stop us",32694,1.0,2.27272727272727,15.4156726004772,42.0,44,9.42443621676203,7.0,mobile,112.744680851064,8.170212765,2.0,0.0476190476190476,43.0,47.0,1.093023255,0,0,0,0,0,0,11.0
4134,14910,697,4453,Let me know if you have any problems.,15621,0.0,0.0,27.6550797004033,36.0,37,27.4704311331553,6.0,mobile,124.0,9.465116279,3.0,0.0833333333333333,37.0,43.0,1.162162162,0,0,0,0,0,0,8.0
4135,14916,370,4453,"In a separate room, next door",14581,1.0,3.33333333333333,23.0436869899184,28.0,30,27.0498732037194,8.0,mobile,104.567567567568,8.27027027,4.0,0.142857142857143,29.0,37.0,1.275862068,0,0,0,0,0,0,6.0
4136,14918,905,4453,I dindn't understand we were borrowing them.,23073,1.0,2.27272727272727,22.3638018463139,43.0,44,19.9727644121652,22.0,mobile,220.166666666667,8.895833333,2.0,0.0465116279069767,44.0,48.0,1.09090909,0,0,0,0,0,0,8.0
4137,14923,72,4453,I'll send you minutes.,11724,0.0,0.0,21.4943705220061,21.0,22,21.8219605126429,21.0,mobile,295.363636363636,8.0,0.0,0.0,22.0,22.0,1.0,0,0,0,0,0,0,5.0
4138,14926,141,4453,FYI on the demand letter I signed earlier,21345,1.0,2.38095238095238,22.487702037948,40.0,42,24.4514106583072,26.0,mobile,293.093023255814,8.837209302,1.0,0.025,41.0,43.0,1.048780487,0,0,0,0,0,0,8.0
4139,14928,733,4453,Ed Terry is in there twice.,16651,0.0,0.0,18.7376133565552,26.0,27,22.606754116662,27.0,mobile,170.0,8.848484848,3.0,0.115384615384615,27.0,33.0,1.222222222,0,0,0,0,0,0,6.0
4140,14932,97,4453,Maybe stuff we do more of the next year.,16179,4.0,10.0,28.9263860559985,39.0,40,19.7585071350165,3.0,mobile,226.214285714286,8.761904761,1.0,0.0256410256410256,40.0,42.0,1.05,0,0,0,0,0,0,9.0
4141,14936,971,4453,I will be checking up with Lisa.,13002,0.0,0.0,28.6109829257037,31.0,32,29.2844210029127,31.0,mobile,268.75,9.34375,0.0,0.0,32.0,32.0,1.0,0,0,0,0,0,0,7.0
5582,18763,670,5613,She would hate to see us not get our expense reports paid.,16725,0.0,0.0,41.6143497757848,58.0,58,72.0124159337817,58.0,mobile,284.508474576271,119.661016949,0.0,0.0,58.0,59.0,1.017241379,0,0,0,0,0,0,12.0
5583,18764,518,5613,"You can't bench Martin, no matter how bad the matchup may be.",19861,0.0,0.0,36.8561502441972,61.0,61,73.9827373612824,15.0,mobile,280.461538461538,118.507692307,1.0,0.0163934426229508,61.0,65.0,1.06557377,0,0,0,0,0,0,13.0
5584,18765,198,5613,Need anything from Target?,8062,0.0,0.0,38.70007442322,26.0,26,80.3635493900981,28.0,mobile,411.344827586207,133.827586206,0.0,0.0,26.0,29.0,1.115384615,0,0,0,0,0,0,4.0
5585,18767,1181,5613,Estrada recently returned from Johannesburg.,16265,0.0,0.0,32.4623424531202,44.0,44,84.982749228255,39.0,mobile,265.074074074074,123.537037037,4.0,0.0909090909090909,44.0,54.0,1.227272727,0,0,0,0,0,0,5.0
5586,18768,1186,5613,Thay really must get the money together.,11631,1.0,2.5,41.269022440031,40.0,40,74.7065101387407,35.0,mobile,259.790697674419,112.88372093,1.0,0.025,40.0,43.0,1.075,0,0,0,0,0,0,7.0
5587,18770,1376,5613,Trow said the sprofit return was very high.,13674,1.0,2.32558139534884,37.7358490566038,43.0,43,76.2812872467223,32.0,mobile,322.645833333333,112.895833333,2.0,0.0465116279069767,43.0,48.0,1.116279069,0,0,0,0,0,0,8.0
5588,18771,909,5613,I am in 50M if you need me.,9538,0.0,0.0,33.969385615433,27.0,27,52.766581165262,12.0,mobile,247.909090909091,116.454545454,2.0,0.0740740740740741,27.0,33.0,1.222222222,0,0,0,0,0,0,8.0
5589,18772,1432,5613,"But he couldn't keep it up, coming home in 38",20777,1.0,2.17391304347826,25.9902777109304,45.0,46,61.4015572858732,23.0,mobile,277.612903225806,108.387096774,8.0,0.177777777777778,45.0,62.0,1.377777777,0,0,0,0,0,0,11.0
5590,18774,1402,5613,A bad thing has been turned into a good thing and.,14868,0.0,0.0,40.3551251008878,50.0,50,83.2282471626734,11.0,mobile,309.849056603774,111.452830188,1.0,0.02,50.0,53.0,1.06,0,0,0,0,0,0,11.0
5591,18775,587,5613,Thank you for your support and genterosity.,11043,1.0,2.32558139534884,46.7264330345015,43.0,43,82.9848825989064,43.0,mobile,270.909090909091,109.659090909,0.0,0.0,43.0,44.0,1.023255813,0,0,0,0,0,0,7.0
5592,18777,1357,5613,He was very close to achieving his life's goal.,14931,0.0,0.0,37.7737592927466,47.0,47,74.7577295800646,27.0,mobile,291.7,115.12,1.0,0.0212765957446809,47.0,50.0,1.063829787,0,0,0,0,0,0,10.0
5593,18779,1489,5613,It's going to be ludicrous.,11785,0.0,0.0,27.4925753075944,27.0,27,82.7586206896552,4.0,mobile,265.725,111.05,6.0,0.222222222222222,27.0,40.0,1.481481481,0,0,0,0,0,0,6.0
5594,18781,335,5613,"Do not send small, unsuspecting children to check on my progress.",21244,0.0,0.0,36.7162492939183,65.0,65,63.2411067193676,4.0,mobile,209.544117647059,118.205882352,1.0,0.0153846153846154,65.0,68.0,1.046153846,0,0,0,0,0,0,11.0
5595,18784,1184,5613,But the pact has not entirely calmed the nation's nerves.,16834,0.0,0.0,40.6320541760722,57.0,57,68.0580762250454,25.0,mobile,229.916666666667,114.233333333,1.0,0.0175438596491228,57.0,60.0,1.052631578,0,0,0,0,0,0,11.0
5596,18787,1499,5613,Arkansas called in 32 extra state police to the prison.,17894,0.0,0.0,36.8838716888342,55.0,55,73.9219712525667,3.0,mobile,216.433333333333,119.333333333,2.0,0.0363636363636364,55.0,60.0,1.09090909,0,0,0,0,0,0,10.0
5867,20140,689,6033,Monitor his progress over the next few weeks.,13436,0.0,0.0,39.2974099434355,44.0,45,47.9463001438389,50.0,mobile,159.313725490196,18.078431372,0.0,0.0,45.0,51.0,1.133333333,0,0,0,0,0,0,8.0
5868,20143,1337,6033,The planes had flown in from Dijoubti to Sanaa earlier Thursday.,21022,0.0,0.0,35.9623251831415,63.0,64,37.8132346321212,63.0,mobile,123.5,16.078125,0.0,0.0,64.0,64.0,1.0,0,0,0,0,0,0,11.0
5869,20144,602,6033,The old lost we had from Sybase no longer exists.,15064,1.0,2.04081632653061,38.236856080722305,48.0,49,40.4153802975021,48.0,mobile,222.183673469388,16.571428571,0.0,0.0,49.0,49.0,1.0,0,0,0,0,0,0,10.0
5870,20146,774,6033,What are the units?,5063,0.0,0.0,42.6624530910527,18.0,19,45.6659619450317,18.0,mobile,161.789473684211,17.526315789,0.0,0.0,19.0,19.0,1.0,0,0,0,0,0,0,4.0
5871,20147,1445,6033,Add a Star Trek convention amd sports memotabilla show to the mix.,17068,3.0,4.54545454545455,45.6995547222873,65.0,66,49.5030939433715,66.0,mobile,205.641791044776,15.95522388,0.0,0.0,66.0,67.0,1.015151515,0,0,0,0,0,0,12.0
5872,20149,323,6033,I think Citation should be good now.,10505,0.0,0.0,39.98096144693,35.0,36,44.6725022638092,37.0,mobile,288.5,14.894736842,0.0,0.0,36.0,38.0,1.055555555,0,0,0,0,0,0,7.0
5873,20150,776,6033,No there will be plrnty of others,7181,2.0,5.88235294117647,53.4744464559254,32.0,34,59.3614150801979,33.0,mobile,235.588235294118,15.0,0.0,0.0,33.0,34.0,1.03030303,0,0,0,0,0,0,7.0
5874,20152,1466,6033,Derivatives are not new.,9775,0.0,0.0,28.2352941176471,23.0,24,36.036036036036,5.0,mobile,255.52380952381,14.142857142,6.0,0.260869565217391,24.0,42.0,1.75,0,0,0,0,0,0,4.0
5875,20153,823,6033,"Until we can answer these questions, we cannot terminate anything.",16877,0.0,0.0,46.2167446821118,65.0,66,50.2314961628718,66.0,mobile,197.044776119403,16.567164179,0.0,0.0,66.0,67.0,1.015151515,0,0,0,0,0,0,10.0
5876,20155,758,6033,Don't botjer picking him up.,6327,1.0,3.57142857142857,51.2091038406828,27.0,28,59.1937404320463,29.0,mobile,134.933333333333,14.933333333,0.0,0.0,28.0,30.0,1.071428571,0,0,0,0,0,0,6.0
5877,20156,600,6033,"Currently, we are focising our resources on domestic sites.",15866,1.0,1.69491525423729,43.867389386108705,58.0,59,49.449435925150304,61.0,mobile,238.161290322581,17.14516129,0.0,0.0,59.0,62.0,1.050847457,0,0,0,0,0,0,9.0
5878,20158,819,6033,What is happening to the stock price?,8839,0.0,0.0,48.8743070483086,36.0,37,54.0803897685749,37.0,mobile,211.578947368421,16.552631578,0.0,0.0,37.0,38.0,1.027027027,0,0,0,0,0,0,7.0
5880,20161,903,6033,Tell her to get my expense report done.,8388,0.0,0.0,54.3633762517883,38.0,39,59.8771750255885,39.0,mobile,188.55,14.3,0.0,0.0,39.0,40.0,1.025641025,0,0,0,0,0,0,8.0
5881,20163,479,6033,Please look over and let me know.,6839,0.0,0.0,56.1485597309548,32.0,33,62.8671217653596,33.0,mobile,135.088235294118,15.882352941,0.0,0.0,33.0,34.0,1.03030303,0,0,0,0,0,0,7.0
6047,21297,690,6548,When it is used we try and do as many paths as possible.,13027,0.0,0.0,50.6640055269824,55.0,56,68.6695278969957,68.0,mobile,140.275362318841,16.579710144,0.0,0.0,56.0,69.0,1.232142857,0,0,0,0,0,0,13.0
6048,21300,203,6548,Lookinh for some gift hints from you.,13074,1.0,2.7027027027027,33.0426801284993,36.0,37,53.5670000826651,54.0,mobile,129.036363636364,17.763636363,0.0,0.0,37.0,55.0,1.486486486,0,0,0,0,0,0,7.0
6049,21302,338,6548,Let me know if there are any other problems with this.,15020,0.0,0.0,42.3435419440746,53.0,54,57.0851953293931,66.0,mobile,89.6119402985075,17.104477611,0.0,0.0,54.0,67.0,1.24074074,0,0,0,0,0,0,11.0
6050,21303,781,6548,Kay Mann is going to take the lead on this.,14100,0.0,0.0,35.7446808510638,42.0,43,61.0257520017312,47.0,mobile,84.4307692307692,19.615384615,1.0,0.0238095238095238,43.0,65.0,1.511627906,0,0,0,0,0,0,10.0
