,sentence.id,sentence.id,agent.id,agent.id,wpm,wpm,lev.distance,lev.distance,gaze.shift,gaze.shift,bs,bs,immediate.bs,immediate.bs,delayed.bs,delayed.bs,gaze.keyboard.ratio,gaze.keyboard.ratio,fix.count,fix.count,finger.travel,finger.travel,iki,iki,correct.error,correct.error,uncorrected.error,uncorrected.error,fix.duration,fix.duration,chunck.length,chunck.length,error.rate,error.rate,kspc,kspc,sentence.length,sentence.length
as usual i will be as candid as i can>,999.0,,0.0,,19.20458307294275,,0.0,,13.0,,5.0,,0.0,,1.0,,0.8275904536869795,,54.0,,158.8145465883114,,494.67358723264897,,1.0,,0.0,,319.8443344463233,,2.0,,0.0,,1.2702702702702702,,37.0,
at he enlisted in the us navy>,360.0,,0.0,,22.71910906427522,,0.0,,9.0,,0.0,,0.0,,0.0,,0.8182719226897772,,45.0,,101.38034347590494,,528.189726368692,,0.0,,0.0,,304.8817335279468,,1.8125,,0.0,,1.0,,29.0,
at least then one person in denver would be able to get in>,1190.0,,0.0,,21.03572475281249,,0.0,,22.0,,2.0,,2.0,,0.0,,0.788757878454196,,86.0,,232.88279583525323,,534.2385570334436,,1.0,,0.0,,323.5885360728286,,2.034482758620689,,0.0,,1.0689655172413792,,58.0,
ava do we need to worry about this>,536.0,,0.0,,25.56231205018224,,0.0,,6.0,,0.0,,0.0,,0.0,,0.8990220632261574,,37.0,,121.15341589427516,,469.4411044056733,,0.0,,0.0,,262.0385700374102,,4.285714285714286,,0.0,,1.0,,34.0,
ava please put it on my calendar>,576.0,,0.0,,22.7144793174436,,0.0,,10.0,,0.0,,0.0,,0.0,,0.7977614239768833,,42.0,,124.1786272755959,,528.2973838975296,,0.0,,0.0,,312.879712948466,,2.4615384615384617,,0.0,,1.0,,32.0,
ava please put me on the list>,972.0,,0.0,,24.426014703421817,,0.0,,6.0,,0.0,,0.0,,0.0,,0.8891201992535394,,34.0,,108.69113250634676,,491.2794881073633,,0.0,,0.0,,280.7643409257748,,3.125,,0.0,,1.0,,29.0,
avoid starting either back in week if at all possible>,799.0,,0.0,,20.557477693944083,,0.0,,20.0,,4.0,,0.0,,2.0,,0.8003838637782987,,75.0,,218.01767670763215,,508.4093028739947,,1.0,,0.0,,318.43839543554594,,2.074074074074074,,0.0,,1.150943396226415,,53.0,
bakus forces had for more than hours been engaged in clashes>,1440.0,,0.0,,21.69267323748355,,0.0,,22.0,,3.0,,0.0,,1.0,,0.791547124562246,,83.0,,209.27062160429568,,503.6434659168706,,1.0,,0.0,,308.07691750503244,,2.1724137931034484,,0.0,,1.1,,60.0,
barry hope that you had a great christmas>,1113.0,,0.0,,23.32572465778769,,0.0,,12.0,,0.0,,0.0,,0.0,,0.7591648131684856,,58.0,,132.0518846312873,,514.4534704088431,,0.0,,0.0,,303.5390890327171,,1.9047619047619049,,0.0,,1.0,,41.0,
be back tomorrow and maybe we can visit>,1201.0,,0.0,,21.30953904891425,,0.0,,12.0,,0.0,,0.0,,0.0,,0.7535944736603922,,60.0,,154.4148846770076,,563.1280889021116,,0.0,,0.0,,353.0949355548209,,1.44,,0.0,,1.0,,39.0,
because there is traffic>,1186.0,,0.0,,24.679027299792388,,0.0,,7.0,,0.0,,0.0,,0.0,,0.8069479742193786,,31.0,,76.50308264556287,,486.2428269245826,,0.0,,0.0,,278.62302174327675,,2.4,,0.0,,1.0,,24.0,
before i forget there is one last change>,1155.0,,0.0,,22.930520636883116,,0.0,,13.0,,0.0,,0.0,,0.0,,0.8027215861807254,,56.0,,147.32777759762473,,523.3199973967589,,0.0,,0.0,,307.2928297217188,,2.0,,0.0,,1.0,,40.0,
below is the intended version>,820.0,,0.0,,19.093104572863187,,0.0,,11.0,,4.0,,0.0,,2.0,,0.8307296217810035,,42.0,,124.24707514932176,,496.1835396843296,,1.0,,0.0,,314.3633356947705,,2.1333333333333333,,0.0,,1.2758620689655171,,29.0,
ben could tell him about pompano>,960.0,,0.0,,20.27660977505016,,0.0,,10.0,,4.0,,0.0,,2.0,,0.8189257811997743,,47.0,,126.2212002546944,,476.3388304316253,,1.0,,0.0,,280.8130266734731,,2.3076923076923075,,0.0,,1.25,,32.0,
benjamin gay and jamel white shared carries in his place>,435.0,,0.0,,22.36624995151736,,0.0,,18.0,,1.0,,1.0,,0.0,,0.8421007980432984,,73.0,,219.99181462560145,,518.3354547192007,,1.0,,0.0,,311.96248868698643,,2.4347826086956523,,0.0,,1.0357142857142858,,56.0,
best of luck and stay in touch>,1303.0,,0.0,,22.89315489227864,,0.0,,11.0,,0.0,,0.0,,0.0,,0.7975369739366428,,45.0,,101.04496090648529,,524.1741497170116,,0.0,,0.0,,303.14330270176515,,1.8666666666666667,,0.0,,1.0,,30.0,
between and are allowed>,335.0,,0.0,,19.31213263121152,,0.0,,11.0,,1.0,,1.0,,0.0,,0.7577341487411432,,38.0,,98.5170917317548,,573.5732706713594,,1.0,,0.0,,371.5170129117837,,1.3333333333333333,,0.0,,1.0869565217391304,,23.0,
binoche welcomed the movie industry to the french riviera>,1065.0,,0.0,,19.79795603196361,,0.0,,18.0,,8.0,,0.0,,3.0,,0.8088057607069787,,90.0,,224.46179463288956,,488.2658922496809,,1.0,,0.0,,299.6291430088765,,1.9393939393939397,,0.0,,1.2456140350877194,,57.0,
board meeting running long>,125.0,,0.0,,21.475210686249252,,0.0,,13.0,,0.0,,0.0,,0.0,,0.6985031928356061,,46.0,,74.6779621849962,,558.7838077734759,,0.0,,0.0,,354.4798232346052,,1.1304347826086956,,0.0,,1.0,,26.0,
bob ill pick san diego as my winner>,1358.0,,0.0,,22.304180471618256,,0.0,,10.0,,2.0,,0.0,,1.0,,0.8471422995201826,,45.0,,126.88098651829624,,484.21415948202366,,1.0,,0.0,,289.24983989304127,,2.8461538461538463,,0.0,,1.1142857142857143,,35.0,
bob ill take oakland as my winner this week>,1173.0,,0.0,,21.93152277668873,,0.0,,15.0,,2.0,,0.0,,1.0,,0.8307534977745384,,56.0,,159.52711403782004,,501.56115979744135,,1.0,,0.0,,312.3808441949388,,1.894736842105263,,0.0,,1.0930232558139534,,43.0,
both have also promised higher salaries>,40.0,,0.0,,19.54959318404175,,0.0,,11.0,,6.0,,0.0,,2.0,,0.8748952826020459,,47.0,,176.51066170815892,,472.171934416736,,1.0,,0.0,,301.3431788032213,,3.3076923076923075,,0.0,,1.3076923076923077,,39.0,
both leading candidates have promised to create jobs>,107.0,,0.0,,22.350657356522845,,0.0,,18.0,,0.0,,0.0,,0.0,,0.7676563543606608,,75.0,,172.6300249752222,,536.896960504739,,0.0,,0.0,,331.1817537054059,,1.59375,,0.0,,1.0,,52.0,
both of us are still here>,1345.0,,0.0,,24.14336711196353,,0.0,,9.0,,0.0,,0.0,,0.0,,0.8121611236354684,,32.0,,79.26892644529568,,497.0309213437653,,0.0,,0.0,,293.9851643243314,,2.1818181818181817,,0.0,,1.0,,25.0,
both sides had indicated interest in a cessation of hostilities>,1024.0,,0.0,,23.22372258008993,,0.0,,21.0,,2.0,,0.0,,1.0,,0.7935414113426694,,83.0,,196.38291997525388,,486.3181433600765,,1.0,,0.0,,281.8261019061863,,2.269230769230769,,0.0,,1.0634920634920637,,63.0,
bound to be some media flack on this>,84.0,,0.0,,22.55354649113966,,0.0,,12.0,,0.0,,0.0,,0.0,,0.8161986220058667,,50.0,,138.41796465518462,,532.0670966188974,,0.0,,0.0,,312.72337552684144,,2.25,,0.0,,1.0,,36.0,
boy i couldnt write too much on this thing>,614.0,,0.0,,22.768839633262058,,0.0,,16.0,,0.0,,0.0,,0.0,,0.7653054032221622,,60.0,,133.76960759088286,,527.0360805945375,,0.0,,0.0,,319.38811846815224,,1.826086956521739,,0.0,,1.0,,42.0,
bradford has yet to prove himself as a fantasy player>,47.0,,0.0,,16.95640767642148,,0.0,,20.0,,15.0,,0.0,,4.0,,0.8383732855140603,,85.0,,226.4307542683705,,454.9481152787285,,1.0,,0.0,,295.7319862217099,,2.096774193548387,,0.0,,1.5660377358490567,,53.0,
brady only has five catches this season>,1298.0,,0.0,,16.674126210447884,,0.0,,18.0,,12.0,,0.0,,3.0,,0.798324190457497,,66.0,,138.72646006327855,,449.7986824221443,,1.0,,0.0,,299.7097534867627,,1.8888888888888888,,0.0,,1.6153846153846154,,39.0,
brcko had been proposed as another site for a safe area>,232.0,,0.0,,23.363548639062746,,0.0,,15.0,,0.0,,0.0,,0.0,,0.8009901537514416,,72.0,,182.4833896876611,,513.6206055588906,,0.0,,0.0,,311.74395348531624,,2.0384615384615383,,0.0,,1.0,,55.0,
brian is working this>,561.0,,0.0,,21.899057480368867,,0.0,,7.0,,0.0,,0.0,,0.0,,0.7883763049859397,,29.0,,85.494324011961,,547.9687886456871,,0.0,,0.0,,327.07229552967186,,2.1,,0.0,,1.0,,21.0,
brian mitchell will likely serve as duce staleys backup>,73.0,,0.0,,21.73608867175413,,0.0,,18.0,,2.0,,0.0,,1.0,,0.803665856293281,,75.0,,215.15848815911733,,515.2720974383175,,1.0,,0.0,,314.81756271604587,,2.208333333333333,,0.0,,1.0727272727272728,,55.0,
britain earlier organised an evacuation of nonbritons from sanaa>,1125.0,,0.0,,20.42448197987685,,4.0,,24.0,,4.0,,1.0,,1.0,,0.7899438876670409,,90.0,,235.73711900362488,,520.3838921860145,,0.0,,1.0,,324.71303876862504,,1.8823529411764703,,6.25,,1.078125,,64.0,
budget allocation from glisan has been postponed>,1334.0,,0.0,,23.413858553668007,,0.0,,18.0,,0.0,,0.0,,0.0,,0.7574424490996917,,63.0,,150.13652065725853,,512.5169767509374,,0.0,,0.0,,314.1074344519838,,1.9583333333333333,,0.0,,1.0,,48.0,
but both reports were denied by the southern leadership>,464.0,,0.0,,23.071419903986843,,0.0,,19.0,,0.0,,0.0,,0.0,,0.7261207856124757,,70.0,,161.3334706928157,,520.1240344087512,,0.0,,0.0,,330.9195534363466,,1.7741935483870968,,0.0,,1.0,,55.0,
but he added the list given was still incomplete>,756.0,,0.0,,13.074344799451945,,40.0,,4.0,,9.0,,0.0,,1.0,,0.9052095098587956,,13.0,,34.721509279643264,,353.0107769207743,,0.0,,1.0,,256.28413613109785,,4.25,,83.33333333333334,,0.5208333333333334,,48.0,
but he couldnt keep it up coming home in >,446.0,,0.0,,22.075263012342024,,0.0,,15.0,,1.0,,1.0,,0.0,,0.809315638072793,,61.0,,147.88034128634885,,518.8860240596613,,1.0,,0.0,,309.59995584655064,,2.0,,0.0,,1.048780487804878,,41.0,
but he is expected to play against the raiders on sunday night>,1161.0,,0.0,,21.532191463211984,,1.0,,23.0,,2.0,,0.0,,1.0,,0.7786323122064842,,95.0,,211.4083078851413,,523.5290282453074,,0.0,,1.0,,314.1520187542767,,1.7777777777777777,,1.6129032258064515,,1.0483870967741935,,62.0,
but he vows to support any drivers who support the pacers>,145.0,,0.0,,21.447430230969257,,0.0,,18.0,,3.0,,0.0,,1.0,,0.7706930438740625,,79.0,,200.4539032454327,,507.0537534280877,,1.0,,0.0,,319.645985101057,,1.935483870967742,,0.0,,1.105263157894737,,57.0,
but his father likes what he sees from his sons engine>,1297.0,,0.0,,20.251954450547892,,0.0,,20.0,,3.0,,3.0,,0.0,,0.7967280850586969,,84.0,,210.4753077448572,,534.2532325740456,,1.0,,0.0,,327.31529622088186,,1.75,,0.0,,1.1111111111111112,,54.0,
